"title","url","primary_category","source_type","country","notes"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208234232.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208233939.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208234120.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208234150.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251208235756.xml","Investing","Bogleheads","US","Detailed articles"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208234443.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251209000128.xml","Investing","Bogleheads","US","Detailed articles"
"Financial Planning","articles/bogleheads/financial planning/Bogleheads-20251208234627.xml","Financial Planning","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251209000802.xml","Investing","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251209000300.xml","Investing","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251208235338.xml","Investing","Bogleheads","US","Detailed articles"
"Investing","articles/bogleheads/investing/Bogleheads-20251208235615.xml","Investing","Bogleheads","US","Detailed articles"
"Retirement Planning","articles/bogleheads/retirement planning/Bogleheads-20251209001342.xml","Retirement Planning","Bogleheads","US","Detailed articles"
